regime_id,option_type,T,sigma,r,q,K,Smax,M,N,split
call_T050_s020_r010_q000,call,0.5,0.2,0.1,0.0,1.0,4.0,120,120,test
call_T050_s020_r010_q003,call,0.5,0.2,0.1,0.03,1.0,4.0,120,120,train
call_T050_s020_r010_q006,call,0.5,0.2,0.1,0.06,1.0,4.0,120,120,train
call_T050_s020_r010_q010,call,0.5,0.2,0.1,0.1,1.0,4.0,120,120,train
call_T050_s040_r001_q000,call,0.5,0.4,0.01,0.0,1.0,4.0,120,120,test
call_T050_s040_r001_q003,call,0.5,0.4,0.01,0.03,1.0,4.0,120,120,train
call_T050_s040_r001_q006,call,0.5,0.4,0.01,0.06,1.0,4.0,120,120,train
call_T050_s040_r001_q010,call,0.5,0.4,0.01,0.1,1.0,4.0,120,120,train
call_T050_s040_r005_q000,call,0.5,0.4,0.05,0.0,1.0,4.0,120,120,test
call_T050_s040_r005_q003,call,0.5,0.4,0.05,0.03,1.0,4.0,120,120,validation
call_T050_s040_r005_q006,call,0.5,0.4,0.05,0.06,1.0,4.0,120,120,validation
call_T050_s040_r005_q010,call,0.5,0.4,0.05,0.1,1.0,4.0,120,120,validation
call_T050_s040_r010_q000,call,0.5,0.4,0.1,0.0,1.0,4.0,120,120,test
call_T050_s040_r010_q003,call,0.5,0.4,0.1,0.03,1.0,4.0,120,120,train
call_T050_s040_r010_q006,call,0.5,0.4,0.1,0.06,1.0,4.0,120,120,train
call_T050_s040_r010_q010,call,0.5,0.4,0.1,0.1,1.0,4.0,120,120,train
call_T050_s060_r001_q000,call,0.5,0.6,0.01,0.0,1.0,4.0,120,120,test
call_T050_s060_r001_q003,call,0.5,0.6,0.01,0.03,1.0,4.0,120,120,train
call_T050_s060_r001_q006,call,0.5,0.6,0.01,0.06,1.0,4.0,120,120,train
call_T050_s060_r001_q010,call,0.5,0.6,0.01,0.1,1.0,4.0,120,120,stress_holdout
call_T050_s060_r005_q000,call,0.5,0.6,0.05,0.0,1.0,4.0,120,120,test
call_T050_s060_r005_q003,call,0.5,0.6,0.05,0.03,1.0,4.0,120,120,validation
call_T050_s060_r005_q006,call,0.5,0.6,0.05,0.06,1.0,4.0,120,120,validation
call_T050_s060_r005_q010,call,0.5,0.6,0.05,0.1,1.0,4.0,120,120,stress_holdout
call_T050_s060_r010_q000,call,0.5,0.6,0.1,0.0,1.0,4.0,120,120,test
call_T050_s060_r010_q003,call,0.5,0.6,0.1,0.03,1.0,4.0,120,120,train
call_T050_s060_r010_q006,call,0.5,0.6,0.1,0.06,1.0,4.0,120,120,train
call_T050_s060_r010_q010,call,0.5,0.6,0.1,0.1,1.0,4.0,120,120,stress_holdout
call_T100_s020_r001_q000,call,1.0,0.2,0.01,0.0,1.0,4.0,120,120,test
call_T100_s020_r001_q003,call,1.0,0.2,0.01,0.03,1.0,4.0,120,120,train
call_T100_s020_r001_q006,call,1.0,0.2,0.01,0.06,1.0,4.0,120,120,train
call_T100_s020_r001_q010,call,1.0,0.2,0.01,0.1,1.0,4.0,120,120,train
call_T100_s020_r005_q000,call,1.0,0.2,0.05,0.0,1.0,4.0,120,120,test
call_T100_s020_r005_q003,call,1.0,0.2,0.05,0.03,1.0,4.0,120,120,train
call_T100_s020_r005_q006,call,1.0,0.2,0.05,0.06,1.0,4.0,120,120,train
call_T100_s020_r005_q010,call,1.0,0.2,0.05,0.1,1.0,4.0,120,120,train
call_T100_s020_r010_q000,call,1.0,0.2,0.1,0.0,1.0,4.0,120,120,test
call_T100_s020_r010_q003,call,1.0,0.2,0.1,0.03,1.0,4.0,120,120,train
call_T100_s020_r010_q006,call,1.0,0.2,0.1,0.06,1.0,4.0,120,120,train
call_T100_s020_r010_q010,call,1.0,0.2,0.1,0.1,1.0,4.0,120,120,train
call_T100_s040_r001_q000,call,1.0,0.4,0.01,0.0,1.0,4.0,120,120,test
call_T100_s040_r001_q003,call,1.0,0.4,0.01,0.03,1.0,4.0,120,120,train
call_T100_s040_r001_q006,call,1.0,0.4,0.01,0.06,1.0,4.0,120,120,train
call_T100_s040_r001_q010,call,1.0,0.4,0.01,0.1,1.0,4.0,120,120,train
call_T100_s040_r005_q000,call,1.0,0.4,0.05,0.0,1.0,4.0,120,120,test
call_T100_s040_r005_q003,call,1.0,0.4,0.05,0.03,1.0,4.0,120,120,train
call_T100_s040_r005_q006,call,1.0,0.4,0.05,0.06,1.0,4.0,120,120,train
call_T100_s040_r005_q010,call,1.0,0.4,0.05,0.1,1.0,4.0,120,120,train
call_T100_s040_r010_q000,call,1.0,0.4,0.1,0.0,1.0,4.0,120,120,test
call_T100_s040_r010_q003,call,1.0,0.4,0.1,0.03,1.0,4.0,120,120,train
call_T100_s040_r010_q006,call,1.0,0.4,0.1,0.06,1.0,4.0,120,120,train
call_T100_s040_r010_q010,call,1.0,0.4,0.1,0.1,1.0,4.0,120,120,train
call_T100_s060_r001_q000,call,1.0,0.6,0.01,0.0,1.0,4.0,120,120,test
call_T100_s060_r001_q003,call,1.0,0.6,0.01,0.03,1.0,4.0,120,120,train
call_T100_s060_r001_q006,call,1.0,0.6,0.01,0.06,1.0,4.0,120,120,train
call_T100_s060_r001_q010,call,1.0,0.6,0.01,0.1,1.0,4.0,120,120,stress_holdout
call_T100_s060_r005_q000,call,1.0,0.6,0.05,0.0,1.0,4.0,120,120,test
call_T100_s060_r005_q003,call,1.0,0.6,0.05,0.03,1.0,4.0,120,120,train
call_T100_s060_r005_q006,call,1.0,0.6,0.05,0.06,1.0,4.0,120,120,train
call_T100_s060_r005_q010,call,1.0,0.6,0.05,0.1,1.0,4.0,120,120,stress_holdout
call_T100_s060_r010_q000,call,1.0,0.6,0.1,0.0,1.0,4.0,120,120,test
call_T100_s060_r010_q003,call,1.0,0.6,0.1,0.03,1.0,4.0,120,120,train
call_T100_s060_r010_q006,call,1.0,0.6,0.1,0.06,1.0,4.0,120,120,train
call_T100_s060_r010_q010,call,1.0,0.6,0.1,0.1,1.0,4.0,120,120,stress_holdout
call_T200_s020_r001_q000,call,2.0,0.2,0.01,0.0,1.0,4.0,120,120,test
call_T200_s020_r001_q003,call,2.0,0.2,0.01,0.03,1.0,4.0,120,120,train
call_T200_s020_r001_q006,call,2.0,0.2,0.01,0.06,1.0,4.0,120,120,train
call_T200_s020_r001_q010,call,2.0,0.2,0.01,0.1,1.0,4.0,120,120,train
call_T200_s020_r005_q000,call,2.0,0.2,0.05,0.0,1.0,4.0,120,120,test
call_T200_s020_r005_q003,call,2.0,0.2,0.05,0.03,1.0,4.0,120,120,train
call_T200_s020_r005_q006,call,2.0,0.2,0.05,0.06,1.0,4.0,120,120,train
call_T200_s020_r005_q010,call,2.0,0.2,0.05,0.1,1.0,4.0,120,120,train
call_T200_s020_r010_q000,call,2.0,0.2,0.1,0.0,1.0,4.0,120,120,test
call_T200_s020_r010_q003,call,2.0,0.2,0.1,0.03,1.0,4.0,120,120,train
call_T200_s020_r010_q006,call,2.0,0.2,0.1,0.06,1.0,4.0,120,120,train
call_T200_s020_r010_q010,call,2.0,0.2,0.1,0.1,1.0,4.0,120,120,train
call_T200_s040_r001_q000,call,2.0,0.4,0.01,0.0,1.0,4.0,120,120,test
call_T200_s040_r001_q003,call,2.0,0.4,0.01,0.03,1.0,4.0,120,120,train
call_T200_s040_r001_q006,call,2.0,0.4,0.01,0.06,1.0,4.0,120,120,train
call_T200_s040_r001_q010,call,2.0,0.4,0.01,0.1,1.0,4.0,120,120,train
call_T200_s040_r005_q000,call,2.0,0.4,0.05,0.0,1.0,4.0,120,120,test
call_T200_s040_r005_q003,call,2.0,0.4,0.05,0.03,1.0,4.0,120,120,train
call_T200_s040_r005_q006,call,2.0,0.4,0.05,0.06,1.0,4.0,120,120,train
call_T200_s040_r005_q010,call,2.0,0.4,0.05,0.1,1.0,4.0,120,120,train
call_T200_s040_r010_q000,call,2.0,0.4,0.1,0.0,1.0,4.0,120,120,test
call_T200_s040_r010_q003,call,2.0,0.4,0.1,0.03,1.0,4.0,120,120,test
call_T200_s040_r010_q006,call,2.0,0.4,0.1,0.06,1.0,4.0,120,120,test
call_T200_s040_r010_q010,call,2.0,0.4,0.1,0.1,1.0,4.0,120,120,test
call_T200_s060_r001_q000,call,2.0,0.6,0.01,0.0,1.0,4.0,120,120,test
call_T200_s060_r001_q003,call,2.0,0.6,0.01,0.03,1.0,4.0,120,120,train
call_T200_s060_r001_q006,call,2.0,0.6,0.01,0.06,1.0,4.0,120,120,train
call_T200_s060_r001_q010,call,2.0,0.6,0.01,0.1,1.0,4.0,120,120,stress_holdout
call_T200_s060_r005_q000,call,2.0,0.6,0.05,0.0,1.0,4.0,120,120,test
call_T200_s060_r005_q003,call,2.0,0.6,0.05,0.03,1.0,4.0,120,120,train
call_T200_s060_r005_q006,call,2.0,0.6,0.05,0.06,1.0,4.0,120,120,train
call_T200_s060_r005_q010,call,2.0,0.6,0.05,0.1,1.0,4.0,120,120,stress_holdout
call_T200_s060_r010_q000,call,2.0,0.6,0.1,0.0,1.0,4.0,120,120,test
call_T200_s060_r010_q003,call,2.0,0.6,0.1,0.03,1.0,4.0,120,120,train
call_T200_s060_r010_q006,call,2.0,0.6,0.1,0.06,1.0,4.0,120,120,train
call_T200_s060_r010_q010,call,2.0,0.6,0.1,0.1,1.0,4.0,120,120,stress_holdout
put_T025_s020_r001_q000,put,0.25,0.2,0.01,0.0,1.0,4.0,120,120,train
put_T025_s020_r001_q003,put,0.25,0.2,0.01,0.03,1.0,4.0,120,120,train
put_T025_s020_r001_q006,put,0.25,0.2,0.01,0.06,1.0,4.0,120,120,train
put_T025_s020_r001_q010,put,0.25,0.2,0.01,0.1,1.0,4.0,120,120,train
put_T025_s020_r005_q000,put,0.25,0.2,0.05,0.0,1.0,4.0,120,120,train
put_T025_s020_r005_q003,put,0.25,0.2,0.05,0.03,1.0,4.0,120,120,train
put_T025_s020_r005_q006,put,0.25,0.2,0.05,0.06,1.0,4.0,120,120,train
put_T025_s020_r005_q010,put,0.25,0.2,0.05,0.1,1.0,4.0,120,120,train
put_T025_s020_r010_q000,put,0.25,0.2,0.1,0.0,1.0,4.0,120,120,train
put_T025_s020_r010_q003,put,0.25,0.2,0.1,0.03,1.0,4.0,120,120,train
put_T025_s020_r010_q006,put,0.25,0.2,0.1,0.06,1.0,4.0,120,120,train
put_T025_s020_r010_q010,put,0.25,0.2,0.1,0.1,1.0,4.0,120,120,train
put_T025_s040_r001_q000,put,0.25,0.4,0.01,0.0,1.0,4.0,120,120,train
put_T025_s040_r001_q003,put,0.25,0.4,0.01,0.03,1.0,4.0,120,120,train
put_T025_s040_r001_q006,put,0.25,0.4,0.01,0.06,1.0,4.0,120,120,train
put_T025_s040_r001_q010,put,0.25,0.4,0.01,0.1,1.0,4.0,120,120,train
put_T025_s040_r005_q000,put,0.25,0.4,0.05,0.0,1.0,4.0,120,120,train
put_T025_s040_r005_q003,put,0.25,0.4,0.05,0.03,1.0,4.0,120,120,train
put_T025_s040_r005_q006,put,0.25,0.4,0.05,0.06,1.0,4.0,120,120,train
put_T025_s040_r005_q010,put,0.25,0.4,0.05,0.1,1.0,4.0,120,120,train
put_T025_s040_r010_q000,put,0.25,0.4,0.1,0.0,1.0,4.0,120,120,train
put_T025_s040_r010_q003,put,0.25,0.4,0.1,0.03,1.0,4.0,120,120,train
put_T025_s040_r010_q006,put,0.25,0.4,0.1,0.06,1.0,4.0,120,120,train
put_T025_s040_r010_q010,put,0.25,0.4,0.1,0.1,1.0,4.0,120,120,train
put_T025_s060_r001_q000,put,0.25,0.6,0.01,0.0,1.0,4.0,120,120,train
put_T025_s060_r001_q003,put,0.25,0.6,0.01,0.03,1.0,4.0,120,120,train
put_T025_s060_r001_q006,put,0.25,0.6,0.01,0.06,1.0,4.0,120,120,train
put_T025_s060_r001_q010,put,0.25,0.6,0.01,0.1,1.0,4.0,120,120,stress_holdout
put_T025_s060_r005_q000,put,0.25,0.6,0.05,0.0,1.0,4.0,120,120,train
put_T025_s060_r005_q003,put,0.25,0.6,0.05,0.03,1.0,4.0,120,120,train
put_T025_s060_r005_q006,put,0.25,0.6,0.05,0.06,1.0,4.0,120,120,train
put_T025_s060_r005_q010,put,0.25,0.6,0.05,0.1,1.0,4.0,120,120,stress_holdout
put_T025_s060_r010_q000,put,0.25,0.6,0.1,0.0,1.0,4.0,120,120,train
put_T025_s060_r010_q003,put,0.25,0.6,0.1,0.03,1.0,4.0,120,120,train
put_T025_s060_r010_q006,put,0.25,0.6,0.1,0.06,1.0,4.0,120,120,train
put_T025_s060_r010_q010,put,0.25,0.6,0.1,0.1,1.0,4.0,120,120,stress_holdout
put_T050_s020_r001_q000,put,0.5,0.2,0.01,0.0,1.0,4.0,120,120,train
put_T050_s020_r001_q003,put,0.5,0.2,0.01,0.03,1.0,4.0,120,120,train
put_T050_s020_r001_q006,put,0.5,0.2,0.01,0.06,1.0,4.0,120,120,train
put_T050_s020_r001_q010,put,0.5,0.2,0.01,0.1,1.0,4.0,120,120,train
put_T050_s020_r005_q000,put,0.5,0.2,0.05,0.0,1.0,4.0,120,120,validation
put_T050_s020_r005_q003,put,0.5,0.2,0.05,0.03,1.0,4.0,120,120,validation
put_T050_s020_r005_q006,put,0.5,0.2,0.05,0.06,1.0,4.0,120,120,validation
put_T050_s020_r005_q010,put,0.5,0.2,0.05,0.1,1.0,4.0,120,120,validation
put_T050_s020_r010_q000,put,0.5,0.2,0.1,0.0,1.0,4.0,120,120,train
put_T050_s020_r010_q003,put,0.5,0.2,0.1,0.03,1.0,4.0,120,120,train
put_T050_s020_r010_q006,put,0.5,0.2,0.1,0.06,1.0,4.0,120,120,train
put_T050_s020_r010_q010,put,0.5,0.2,0.1,0.1,1.0,4.0,120,120,train
put_T050_s040_r001_q000,put,0.5,0.4,0.01,0.0,1.0,4.0,120,120,train
put_T050_s040_r001_q003,put,0.5,0.4,0.01,0.03,1.0,4.0,120,120,train
put_T050_s040_r001_q006,put,0.5,0.4,0.01,0.06,1.0,4.0,120,120,train
put_T050_s040_r001_q010,put,0.5,0.4,0.01,0.1,1.0,4.0,120,120,train
put_T050_s040_r005_q000,put,0.5,0.4,0.05,0.0,1.0,4.0,120,120,validation
put_T050_s040_r005_q003,put,0.5,0.4,0.05,0.03,1.0,4.0,120,120,validation
put_T050_s040_r005_q006,put,0.5,0.4,0.05,0.06,1.0,4.0,120,120,validation
put_T050_s040_r005_q010,put,0.5,0.4,0.05,0.1,1.0,4.0,120,120,validation
put_T050_s040_r010_q000,put,0.5,0.4,0.1,0.0,1.0,4.0,120,120,train
put_T050_s040_r010_q003,put,0.5,0.4,0.1,0.03,1.0,4.0,120,120,train
put_T050_s040_r010_q006,put,0.5,0.4,0.1,0.06,1.0,4.0,120,120,train
put_T050_s040_r010_q010,put,0.5,0.4,0.1,0.1,1.0,4.0,120,120,train
put_T050_s060_r001_q000,put,0.5,0.6,0.01,0.0,1.0,4.0,120,120,train
put_T050_s060_r001_q003,put,0.5,0.6,0.01,0.03,1.0,4.0,120,120,train
put_T050_s060_r001_q006,put,0.5,0.6,0.01,0.06,1.0,4.0,120,120,train
put_T050_s060_r001_q010,put,0.5,0.6,0.01,0.1,1.0,4.0,120,120,stress_holdout
put_T050_s060_r005_q000,put,0.5,0.6,0.05,0.0,1.0,4.0,120,120,validation
put_T050_s060_r005_q003,put,0.5,0.6,0.05,0.03,1.0,4.0,120,120,validation
put_T050_s060_r005_q006,put,0.5,0.6,0.05,0.06,1.0,4.0,120,120,validation
put_T050_s060_r005_q010,put,0.5,0.6,0.05,0.1,1.0,4.0,120,120,stress_holdout
put_T050_s060_r010_q000,put,0.5,0.6,0.1,0.0,1.0,4.0,120,120,train
put_T050_s060_r010_q003,put,0.5,0.6,0.1,0.03,1.0,4.0,120,120,train
put_T050_s060_r010_q006,put,0.5,0.6,0.1,0.06,1.0,4.0,120,120,train
put_T050_s060_r010_q010,put,0.5,0.6,0.1,0.1,1.0,4.0,120,120,stress_holdout
put_T100_s020_r001_q000,put,1.0,0.2,0.01,0.0,1.0,4.0,120,120,train
put_T100_s020_r001_q003,put,1.0,0.2,0.01,0.03,1.0,4.0,120,120,train
put_T100_s020_r001_q006,put,1.0,0.2,0.01,0.06,1.0,4.0,120,120,train
put_T100_s020_r001_q010,put,1.0,0.2,0.01,0.1,1.0,4.0,120,120,train
put_T100_s020_r005_q000,put,1.0,0.2,0.05,0.0,1.0,4.0,120,120,train
put_T100_s020_r005_q003,put,1.0,0.2,0.05,0.03,1.0,4.0,120,120,train
put_T100_s020_r005_q006,put,1.0,0.2,0.05,0.06,1.0,4.0,120,120,train
put_T100_s020_r005_q010,put,1.0,0.2,0.05,0.1,1.0,4.0,120,120,train
put_T100_s020_r010_q000,put,1.0,0.2,0.1,0.0,1.0,4.0,120,120,train
put_T100_s020_r010_q003,put,1.0,0.2,0.1,0.03,1.0,4.0,120,120,train
put_T100_s020_r010_q006,put,1.0,0.2,0.1,0.06,1.0,4.0,120,120,train
put_T100_s020_r010_q010,put,1.0,0.2,0.1,0.1,1.0,4.0,120,120,train
put_T100_s040_r001_q000,put,1.0,0.4,0.01,0.0,1.0,4.0,120,120,train
put_T100_s040_r001_q003,put,1.0,0.4,0.01,0.03,1.0,4.0,120,120,train
put_T100_s040_r001_q006,put,1.0,0.4,0.01,0.06,1.0,4.0,120,120,train
put_T100_s040_r001_q010,put,1.0,0.4,0.01,0.1,1.0,4.0,120,120,train
put_T100_s040_r005_q000,put,1.0,0.4,0.05,0.0,1.0,4.0,120,120,train
put_T100_s040_r005_q003,put,1.0,0.4,0.05,0.03,1.0,4.0,120,120,train
put_T100_s040_r005_q006,put,1.0,0.4,0.05,0.06,1.0,4.0,120,120,train
put_T100_s040_r005_q010,put,1.0,0.4,0.05,0.1,1.0,4.0,120,120,train
put_T100_s040_r010_q000,put,1.0,0.4,0.1,0.0,1.0,4.0,120,120,train
put_T100_s040_r010_q003,put,1.0,0.4,0.1,0.03,1.0,4.0,120,120,train
put_T100_s040_r010_q006,put,1.0,0.4,0.1,0.06,1.0,4.0,120,120,train
put_T100_s040_r010_q010,put,1.0,0.4,0.1,0.1,1.0,4.0,120,120,train
put_T100_s060_r001_q000,put,1.0,0.6,0.01,0.0,1.0,4.0,120,120,train
put_T100_s060_r001_q003,put,1.0,0.6,0.01,0.03,1.0,4.0,120,120,train
put_T100_s060_r001_q006,put,1.0,0.6,0.01,0.06,1.0,4.0,120,120,train
put_T100_s060_r001_q010,put,1.0,0.6,0.01,0.1,1.0,4.0,120,120,stress_holdout
put_T100_s060_r005_q000,put,1.0,0.6,0.05,0.0,1.0,4.0,120,120,train
put_T100_s060_r005_q003,put,1.0,0.6,0.05,0.03,1.0,4.0,120,120,train
put_T100_s060_r005_q006,put,1.0,0.6,0.05,0.06,1.0,4.0,120,120,train
put_T100_s060_r005_q010,put,1.0,0.6,0.05,0.1,1.0,4.0,120,120,stress_holdout
put_T100_s060_r010_q000,put,1.0,0.6,0.1,0.0,1.0,4.0,120,120,train
put_T100_s060_r010_q003,put,1.0,0.6,0.1,0.03,1.0,4.0,120,120,train
put_T100_s060_r010_q006,put,1.0,0.6,0.1,0.06,1.0,4.0,120,120,train
put_T100_s060_r010_q010,put,1.0,0.6,0.1,0.1,1.0,4.0,120,120,stress_holdout
put_T200_s020_r001_q000,put,2.0,0.2,0.01,0.0,1.0,4.0,120,120,train
put_T200_s020_r001_q003,put,2.0,0.2,0.01,0.03,1.0,4.0,120,120,train
put_T200_s020_r001_q006,put,2.0,0.2,0.01,0.06,1.0,4.0,120,120,train
put_T200_s020_r001_q010,put,2.0,0.2,0.01,0.1,1.0,4.0,120,120,train
put_T200_s020_r005_q000,put,2.0,0.2,0.05,0.0,1.0,4.0,120,120,train
put_T200_s020_r005_q003,put,2.0,0.2,0.05,0.03,1.0,4.0,120,120,train
put_T200_s020_r005_q006,put,2.0,0.2,0.05,0.06,1.0,4.0,120,120,train
put_T200_s020_r005_q010,put,2.0,0.2,0.05,0.1,1.0,4.0,120,120,train
put_T200_s020_r010_q000,put,2.0,0.2,0.1,0.0,1.0,4.0,120,120,train
put_T200_s020_r010_q003,put,2.0,0.2,0.1,0.03,1.0,4.0,120,120,train
put_T200_s020_r010_q006,put,2.0,0.2,0.1,0.06,1.0,4.0,120,120,train
put_T200_s020_r010_q010,put,2.0,0.2,0.1,0.1,1.0,4.0,120,120,train
put_T200_s040_r001_q000,put,2.0,0.4,0.01,0.0,1.0,4.0,120,120,train
put_T200_s040_r001_q003,put,2.0,0.4,0.01,0.03,1.0,4.0,120,120,train
put_T200_s040_r001_q006,put,2.0,0.4,0.01,0.06,1.0,4.0,120,120,train
put_T200_s040_r001_q010,put,2.0,0.4,0.01,0.1,1.0,4.0,120,120,train
put_T200_s040_r005_q000,put,2.0,0.4,0.05,0.0,1.0,4.0,120,120,train
put_T200_s040_r005_q003,put,2.0,0.4,0.05,0.03,1.0,4.0,120,120,train
put_T200_s040_r005_q006,put,2.0,0.4,0.05,0.06,1.0,4.0,120,120,train
put_T200_s040_r005_q010,put,2.0,0.4,0.05,0.1,1.0,4.0,120,120,train
put_T200_s040_r010_q000,put,2.0,0.4,0.1,0.0,1.0,4.0,120,120,test
put_T200_s040_r010_q003,put,2.0,0.4,0.1,0.03,1.0,4.0,120,120,test
put_T200_s040_r010_q006,put,2.0,0.4,0.1,0.06,1.0,4.0,120,120,test
put_T200_s040_r010_q010,put,2.0,0.4,0.1,0.1,1.0,4.0,120,120,test
put_T200_s060_r001_q000,put,2.0,0.6,0.01,0.0,1.0,4.0,120,120,train
put_T200_s060_r001_q003,put,2.0,0.6,0.01,0.03,1.0,4.0,120,120,train
put_T200_s060_r001_q006,put,2.0,0.6,0.01,0.06,1.0,4.0,120,120,train
put_T200_s060_r001_q010,put,2.0,0.6,0.01,0.1,1.0,4.0,120,120,stress_holdout
put_T200_s060_r005_q000,put,2.0,0.6,0.05,0.0,1.0,4.0,120,120,train
put_T200_s060_r005_q003,put,2.0,0.6,0.05,0.03,1.0,4.0,120,120,train
put_T200_s060_r005_q006,put,2.0,0.6,0.05,0.06,1.0,4.0,120,120,train
put_T200_s060_r005_q010,put,2.0,0.6,0.05,0.1,1.0,4.0,120,120,stress_holdout
put_T200_s060_r010_q000,put,2.0,0.6,0.1,0.0,1.0,4.0,120,120,train
put_T200_s060_r010_q003,put,2.0,0.6,0.1,0.03,1.0,4.0,120,120,train
put_T200_s060_r010_q006,put,2.0,0.6,0.1,0.06,1.0,4.0,120,120,train
put_T200_s060_r010_q010,put,2.0,0.6,0.1,0.1,1.0,4.0,120,120,stress_holdout
